,age_group,age,idx,household,school,workplace
79,11-45,17,79,88,0,
80,0-5,5,80,14,0,
81,6-10,9,81,16,1,
82,6-10,9,82,61,0,
83,0-5,3,83,49,,
84,6-10,9,84,9,0,
85,0-5,1,85,36,,
86,11-45,17,86,37,0,
87,6-10,9,87,26,0,
88,11-45,25,88,34,,industry
89,6-10,6,89,37,0,
90,11-45,27,90,54,,industry
91,11-45,21,91,7,,health
92,11-45,34,92,49,,volunteer
93,11-45,37,93,92,,industry
94,6-10,9,94,46,0,
95,0-5,5,95,30,1,
96,11-45,36,96,39,,industry
97,0-5,5,97,61,0,
98,11-45,41,98,39,1,schools
99,11-45,41,99,88,,industry
100,6-10,7,100,56,0,
101,11-45,39,101,20,,volunteer
102,11-45,36,102,86,1,schools
103,6-10,6,103,27,1,
104,11-45,30,104,32,,health
105,11-45,26,105,58,,volunteer
106,0-5,4,106,85,,
107,11-45,14,107,9,1,
108,11-45,16,108,12,1,
109,0-5,0,109,40,,
110,11-45,35,110,2,,industry
111,11-45,23,111,93,,health
112,11-45,38,112,68,,industry
113,11-45,31,113,34,,industry
114,11-45,27,114,83,,industry
115,6-10,7,115,17,1,
116,6-10,10,116,35,1,
117,6-10,7,117,71,1,
118,11-45,32,118,71,,industry
119,11-45,11,119,84,0,
120,11-45,12,120,64,0,
121,0-5,4,121,79,,
122,0-5,2,122,65,,
123,0-5,0,123,73,,
124,11-45,27,124,4,,industry
125,0-5,2,125,59,,
126,11-45,17,126,85,0,
127,11-45,24,127,68,,health
128,11-45,40,128,31,,industry
129,11-45,37,129,38,,health
130,11-45,18,130,44,1,
131,11-45,24,131,54,,health
132,11-45,31,132,40,,volunteer
133,6-10,6,133,35,0,
134,6-10,8,134,59,0,
135,11-45,11,135,76,1,
136,6-10,10,136,26,1,
137,11-45,41,137,82,,industry
138,6-10,8,138,2,0,
139,6-10,10,139,67,0,
140,0-5,2,140,83,,
141,0-5,0,141,38,,
142,11-45,15,142,88,0,
143,11-45,35,143,37,,industry
144,11-45,40,144,84,,industry
145,6-10,7,145,16,0,
146,0-5,4,146,69,,
147,6-10,7,147,58,0,
148,0-5,1,148,6,,
149,11-45,14,149,91,0,
150,6-10,9,150,79,0,
151,11-45,20,151,68,,volunteer
152,11-45,40,152,28,,industry
153,6-10,9,153,2,1,
154,11-45,16,154,93,1,
155,6-10,7,155,56,1,
156,11-45,42,156,92,,volunteer
157,11-45,40,157,94,,industry
158,6-10,9,158,11,1,
159,6-10,9,159,18,0,
160,6-10,9,160,2,1,
161,11-45,44,161,0,,industry
162,6-10,8,162,59,1,
163,11-45,11,163,92,0,
164,11-45,24,164,47,,industry
165,11-45,37,165,89,,health
166,0-5,4,166,53,,
167,11-45,17,167,17,0,
168,11-45,44,168,89,,industry
169,11-45,33,169,97,,industry
170,11-45,36,170,46,,volunteer
171,0-5,1,171,89,,
172,11-45,27,172,44,,industry
173,11-45,30,173,17,,industry
174,6-10,9,174,25,1,
175,11-45,26,175,71,0,schools
176,11-45,13,176,63,0,
177,6-10,8,177,72,0,
178,11-45,42,178,36,,health
179,6-10,10,179,7,1,
180,0-5,3,180,71,,
181,6-10,6,181,25,0,
182,0-5,1,182,12,,
183,11-45,22,183,21,,industry
184,11-45,36,184,68,,industry
185,0-5,1,185,89,,
186,0-5,3,186,45,,
187,11-45,18,187,32,0,
188,11-45,34,188,33,,industry
189,6-10,8,189,84,0,
190,11-45,24,190,29,,industry
191,11-45,33,191,73,,volunteer
192,11-45,31,192,42,,industry
193,11-45,45,193,59,,health
194,0-5,2,194,59,,
195,11-45,28,195,66,,volunteer
196,11-45,21,196,58,,industry
197,11-45,44,197,8,,industry
198,11-45,44,198,58,,volunteer
199,11-45,23,199,69,,health
200,11-45,12,200,27,1,
201,11-45,12,201,56,1,
202,11-45,31,202,89,,industry
203,6-10,8,203,39,1,
204,11-45,15,204,22,0,
205,6-10,6,205,67,0,
206,11-45,23,206,95,,industry
207,11-45,29,207,48,,health
208,0-5,5,208,77,1,
209,6-10,9,209,20,1,
210,6-10,7,210,34,0,
211,11-45,19,211,15,,industry
212,6-10,8,212,47,0,
213,0-5,5,213,71,0,
214,0-5,5,214,94,1,
215,11-45,38,215,17,,industry
216,6-10,10,216,76,1,
217,0-5,0,217,9,,
218,11-45,44,218,42,,industry
219,11-45,15,219,39,0,
220,11-45,45,220,77,,health
221,0-5,2,221,33,,
222,11-45,21,222,0,,industry
223,0-5,4,223,16,,
224,6-10,9,224,13,0,
225,0-5,2,225,82,,
226,6-10,9,226,65,1,
227,11-45,18,227,95,0,
228,0-5,5,228,56,0,
229,6-10,6,229,63,0,
230,11-45,16,230,58,0,
231,6-10,8,231,39,0,
232,11-45,27,232,1,,volunteer
233,11-45,43,233,86,,health
234,6-10,9,234,49,0,
235,11-45,31,235,50,,health
236,11-45,43,236,13,,industry
237,11-45,14,237,23,1,
238,0-5,3,238,66,,
239,11-45,19,239,83,,industry
240,0-5,1,240,87,,
241,11-45,34,241,27,,health
242,11-45,26,242,46,,industry
243,11-45,42,243,64,,health
244,6-10,10,244,11,0,
245,6-10,10,245,27,1,
246,11-45,26,246,17,,industry
247,0-5,1,247,92,,
248,11-45,36,248,32,,industry
249,6-10,9,249,35,0,
250,0-5,2,250,97,,
251,6-10,8,251,13,1,
252,11-45,16,252,4,0,
253,11-45,16,253,48,1,
254,11-45,33,254,68,,industry
255,11-45,24,255,34,,volunteer
256,11-45,37,256,86,,volunteer
257,6-10,9,257,50,0,
258,6-10,7,258,16,1,
259,0-5,3,259,81,,
260,0-5,2,260,18,,
261,6-10,10,261,29,0,
262,11-45,25,262,46,,volunteer
263,11-45,40,263,62,,industry
264,11-45,15,264,82,0,
265,11-45,40,265,20,,industry
266,11-45,36,266,83,,industry
267,0-5,4,267,36,,
268,11-45,21,268,64,,industry
269,11-45,26,269,37,,health
270,11-45,28,270,5,,industry
271,11-45,32,271,48,,industry
272,0-5,3,272,93,,
273,11-45,18,273,11,1,
274,11-45,15,274,88,1,
275,6-10,6,275,46,0,
276,6-10,7,276,22,0,
277,11-45,23,277,96,,volunteer
278,11-45,14,278,44,1,
279,0-5,2,279,91,,
280,0-5,5,280,80,1,
281,11-45,41,281,84,,industry
282,11-45,26,282,86,,volunteer
283,11-45,19,283,94,,industry
284,6-10,10,284,31,0,
285,6-10,10,285,50,0,
286,0-5,4,286,6,,
287,6-10,10,287,63,0,
288,6-10,9,288,65,0,
289,11-45,14,289,80,0,
290,0-5,2,290,20,,
291,0-5,2,291,16,,
292,11-45,17,292,56,0,
293,11-45,34,293,80,,industry
294,11-45,21,294,16,,industry
295,0-5,4,295,66,,
296,11-45,28,296,67,,industry
297,11-45,11,297,11,1,
298,6-10,10,298,31,1,
299,0-5,1,299,63,,
300,11-45,30,300,66,,volunteer
301,0-5,4,301,86,,
302,0-5,3,302,85,,
303,11-45,12,303,60,1,
304,11-45,21,304,76,,industry
305,6-10,10,305,25,1,
306,6-10,6,306,34,1,
307,6-10,6,307,68,0,
308,0-5,3,308,33,,
309,6-10,8,309,11,0,
310,6-10,9,310,49,0,
311,11-45,12,311,95,0,
312,6-10,10,312,8,0,
313,11-45,39,313,95,,volunteer
314,11-45,33,314,97,,industry
315,6-10,7,315,4,1,
316,11-45,35,316,65,,health
317,11-45,11,317,28,1,
318,11-45,22,318,73,,industry
319,11-45,44,319,33,,volunteer
320,11-45,33,320,93,,industry
321,11-45,36,321,2,,industry
322,0-5,1,322,18,,
323,11-45,24,323,47,,volunteer
324,6-10,9,324,67,0,
325,11-45,14,325,42,0,
326,6-10,7,326,13,0,
327,6-10,9,327,93,0,
328,6-10,10,328,73,0,
329,0-5,1,329,29,,
330,0-5,0,330,71,,
331,11-45,13,331,96,0,
332,11-45,19,332,5,,industry
333,11-45,32,333,69,,industry
334,6-10,10,334,67,0,
335,11-45,16,335,46,1,
336,11-45,31,336,67,,volunteer
337,11-45,19,337,29,,industry
338,6-10,8,338,37,0,
339,0-5,1,339,8,,
340,0-5,5,340,74,1,
341,11-45,16,341,10,1,
342,11-45,13,342,77,1,
343,0-5,4,343,30,,
344,11-45,34,344,10,,industry
345,0-5,4,345,17,,
346,11-45,24,346,76,,industry
347,6-10,7,347,73,1,
348,6-10,6,348,40,0,
349,0-5,4,349,89,,
350,11-45,40,350,50,,industry
351,6-10,9,351,7,0,
352,6-10,7,352,18,0,
353,11-45,36,353,82,,industry
354,6-10,6,354,7,0,
355,11-45,30,355,85,0,schools
356,11-45,38,356,70,,industry
357,6-10,8,357,26,0,
358,6-10,9,358,52,0,
359,11-45,37,359,70,,industry
360,6-10,8,360,40,0,
361,11-45,45,361,97,1,schools
362,0-5,2,362,61,,
363,0-5,5,363,13,0,
364,0-5,3,364,30,,
365,11-45,11,365,94,1,
366,0-5,4,366,95,,
367,11-45,28,367,92,,industry
368,0-5,0,368,39,,
369,11-45,15,369,59,1,
370,11-45,34,370,80,,volunteer
371,6-10,9,371,58,1,
372,0-5,2,372,47,,
373,11-45,25,373,35,,volunteer
374,0-5,3,374,27,,
375,6-10,8,375,30,0,
376,0-5,5,376,81,1,
377,11-45,11,377,77,0,
378,0-5,4,378,12,,
379,11-45,39,379,33,,volunteer
380,6-10,7,380,73,1,
381,11-45,21,381,97,,industry
382,0-5,2,382,86,,
383,11-45,39,383,40,,industry
384,6-10,7,384,29,1,
385,11-45,23,385,47,,industry
386,11-45,11,386,51,1,
387,0-5,0,387,6,,
388,6-10,6,388,26,1,
389,0-5,1,389,26,,
390,11-45,44,390,3,,industry
391,11-45,34,391,96,,industry
392,0-5,3,392,72,,
393,6-10,6,393,37,0,
394,0-5,1,394,83,,
395,0-5,0,395,90,,
396,6-10,10,396,63,0,
397,11-45,44,397,92,,industry
398,6-10,6,398,25,0,
399,6-10,10,399,33,0,
400,6-10,6,400,17,0,
401,11-45,23,401,5,,industry
402,11-45,22,402,91,,health
403,6-10,9,403,0,0,
404,11-45,26,404,80,,industry
405,11-45,37,405,84,,industry
406,11-45,38,406,77,,industry
407,6-10,10,407,19,0,
408,11-45,14,408,41,1,
409,0-5,4,409,26,,
410,0-5,1,410,88,,
411,11-45,35,411,8,,volunteer
412,11-45,24,412,80,,health
413,11-45,39,413,25,,volunteer
414,11-45,20,414,49,,health
415,0-5,5,415,97,0,
416,11-45,13,416,66,0,
417,11-45,44,417,21,,industry
418,11-45,20,418,15,,health
419,11-45,24,419,86,,industry
420,11-45,25,420,36,,industry
421,0-5,4,421,88,,
422,6-10,9,422,72,1,
423,0-5,3,423,12,,
424,11-45,41,424,29,,industry
425,6-10,7,425,4,0,
426,11-45,31,426,51,,industry
427,11-45,27,427,36,,health
428,0-5,2,428,66,,
429,0-5,0,429,7,,
430,11-45,13,430,81,1,
431,11-45,45,431,73,,industry
432,11-45,35,432,4,,health
433,11-45,44,433,78,0,schools
434,11-45,13,434,40,0,
435,11-45,22,435,36,,volunteer
436,11-45,20,436,68,,industry
437,11-45,32,437,82,,health
438,6-10,10,438,21,1,
439,6-10,9,439,7,1,
440,6-10,7,440,40,0,
441,11-45,32,441,43,,industry
442,11-45,32,442,62,,volunteer
443,6-10,10,443,36,1,
444,6-10,10,444,72,0,
445,11-45,35,445,13,,industry
446,0-5,1,446,33,,
447,0-5,3,447,79,,
448,11-45,13,448,15,0,
449,6-10,6,449,57,0,
450,6-10,10,450,58,0,
451,0-5,3,451,95,,
452,11-45,28,452,84,,industry
453,11-45,19,453,70,,industry
454,0-5,1,454,24,,
455,11-45,22,455,77,,health
456,6-10,7,456,76,0,
457,6-10,10,457,27,1,
458,6-10,7,458,79,1,
459,11-45,42,459,31,,industry
460,11-45,38,460,3,,volunteer
461,0-5,0,461,9,,
462,6-10,9,462,57,1,
463,11-45,20,463,76,,volunteer
464,0-5,0,464,63,,
465,6-10,6,465,55,1,
466,6-10,10,466,65,0,
467,0-5,3,467,56,,
468,11-45,31,468,11,,industry
469,0-5,0,469,6,,
470,11-45,39,470,78,,health
471,0-5,5,471,19,0,
472,11-45,30,472,76,,health
473,11-45,27,473,93,,industry
474,11-45,25,474,30,,industry
475,6-10,9,475,16,0,
476,0-5,2,476,79,,
477,11-45,43,477,57,,industry
478,6-10,10,478,47,1,
479,6-10,6,479,19,1,
480,0-5,0,480,67,,
481,11-45,34,481,83,,industry
482,11-45,26,482,97,,industry
483,11-45,22,483,82,,industry
484,6-10,7,484,2,0,
485,6-10,7,485,31,0,
486,11-45,30,486,78,,industry
487,6-10,7,487,37,0,
488,6-10,10,488,23,0,
489,0-5,0,489,46,,
490,6-10,7,490,4,1,
491,6-10,6,491,57,1,
492,6-10,10,492,62,0,
493,6-10,7,493,72,0,
494,0-5,4,494,31,,
495,6-10,8,495,13,0,
496,6-10,9,496,27,0,
497,11-45,12,497,91,0,
498,11-45,32,498,94,,health
499,6-10,10,499,65,0,
