,age_group,age,idx,household,school,workplace
244,19-64,57,244,1448,,wholesale
245,19-64,52,245,1339,,retail
246,19-64,37,246,1501,,health
247,19-64,37,247,913,,retail
248,19-64,21,248,377,,agriculture
249,19-64,33,249,673,,health
250,19-64,24,250,1551,,waste management
251,65-90,70,251,736,,
252,19-64,26,252,868,,retail
253,19-64,30,253,708,,other
254,19-64,22,254,245,,health
255,19-64,43,255,56,,finance
256,19-64,19,256,704,,manufacturing
257,19-64,62,257,77,,manufacturing
258,19-64,62,258,1754,,finance
259,19-64,62,259,1274,,retail
260,6-18,12,260,1133,0,
261,19-64,61,261,1234,,retail
262,6-18,13,262,547,1,
263,19-64,58,263,741,,manufacturing
264,6-18,12,264,1801,0,
265,65-90,84,265,1778,,
266,19-64,29,266,1037,,public
267,65-90,86,267,1043,,
268,19-64,26,268,1729,,waste management
269,6-18,6,269,1462,0,
270,19-64,63,270,788,,
271,19-64,24,271,1342,,manufacturing
272,19-64,42,272,207,,retail
273,19-64,41,273,321,,health
274,0-5,4,274,614,,
275,0-5,0,275,1310,,
276,19-64,25,276,485,,health
277,19-64,37,277,576,,waste management
278,6-18,16,278,891,1,
279,6-18,10,279,377,1,
280,19-64,61,280,1951,,finance
281,19-64,32,281,1419,,health
282,65-90,80,282,1174,,
283,19-64,33,283,798,,health
284,19-64,40,284,334,,arts
285,19-64,47,285,117,,waste management
286,19-64,56,286,1310,,arts
287,19-64,35,287,560,,waste management
288,65-90,86,288,763,,
289,65-90,75,289,1971,,
290,0-5,4,290,176,,
291,19-64,53,291,1367,,public
292,19-64,39,292,384,,arts
293,19-64,43,293,324,,transportation
294,19-64,58,294,682,,manufacturing
295,19-64,58,295,1178,,transportation
296,65-90,88,296,2039,,
297,19-64,42,297,1007,,retail
298,19-64,25,298,1554,,arts
299,65-90,76,299,688,,
300,6-18,14,300,1885,0,
301,19-64,29,301,409,,health
302,19-64,64,302,1680,,manufacturing
303,19-64,21,303,715,,health
304,19-64,40,304,1662,,
305,19-64,21,305,689,,health
306,6-18,17,306,742,1,
307,19-64,61,307,1802,,health
308,6-18,6,308,1947,0,
309,6-18,12,309,2024,0,
310,65-90,67,310,1937,,
311,19-64,62,311,1284,,public
312,6-18,7,312,169,0,
313,19-64,21,313,830,,manufacturing
314,19-64,20,314,1032,,health
315,19-64,46,315,455,,finance
316,6-18,14,316,811,0,
317,19-64,34,317,1068,,health
318,19-64,49,318,644,,manufacturing
319,6-18,6,319,978,1,
320,19-64,49,320,1455,,
321,19-64,21,321,1096,,waste management
322,6-18,18,322,1487,1,
323,19-64,30,323,875,,health
324,6-18,7,324,834,1,
325,19-64,36,325,690,,waste management
326,19-64,39,326,1130,,health
327,6-18,10,327,1733,1,
328,19-64,63,328,1773,,health
329,65-90,89,329,75,,
330,6-18,7,330,1608,1,
331,19-64,41,331,139,,health
332,19-64,49,332,273,,waste management
333,65-90,90,333,1547,,
334,19-64,48,334,609,,waste management
335,6-18,12,335,1884,0,
336,0-5,0,336,1001,,
337,0-5,5,337,709,1,
338,6-18,13,338,1239,1,
339,19-64,39,339,1071,,waste management
340,19-64,23,340,819,,health
341,19-64,54,341,536,,manufacturing
342,19-64,19,342,569,,finance
343,19-64,48,343,106,,other
344,6-18,9,344,1448,1,
345,0-5,5,345,1192,1,
346,0-5,4,346,641,,
347,65-90,69,347,1980,,
348,65-90,70,348,1575,,
349,65-90,78,349,1587,,
350,19-64,51,350,2089,,construction
351,19-64,26,351,969,,arts
352,19-64,43,352,331,,agriculture
353,19-64,28,353,1069,,waste management
354,19-64,36,354,247,,manufacturing
355,19-64,45,355,5,,manufacturing
356,19-64,54,356,1405,,waste management
357,19-64,61,357,463,,retail
358,19-64,52,358,1668,,waste management
359,19-64,21,359,203,,health
360,19-64,46,360,634,,other
361,19-64,21,361,58,,other
362,6-18,14,362,1572,1,
363,6-18,17,363,1634,1,
364,65-90,76,364,1559,,
365,6-18,12,365,812,1,
366,19-64,59,366,1179,,waste management
367,19-64,46,367,578,,health
368,19-64,38,368,924,,finance
369,65-90,69,369,858,,
370,19-64,20,370,1058,,manufacturing
371,65-90,78,371,1949,,
372,65-90,70,372,1959,,
373,19-64,46,373,915,,transportation
374,6-18,10,374,510,0,
375,19-64,45,375,805,,manufacturing
376,19-64,52,376,1591,,retail
377,19-64,56,377,1471,,transportation
378,65-90,86,378,1823,,
379,19-64,64,379,1441,,retail
380,19-64,63,380,1583,,retail
381,6-18,18,381,800,1,
382,19-64,42,382,286,,
383,19-64,52,383,1866,,agriculture
384,19-64,26,384,546,,manufacturing
385,19-64,36,385,636,,other
386,6-18,13,386,469,1,
387,19-64,33,387,992,,finance
388,19-64,30,388,1213,,manufacturing
389,19-64,44,389,120,,agriculture
390,19-64,26,390,119,,retail
391,19-64,57,391,1729,,health
392,19-64,27,392,608,,health
393,19-64,24,393,731,,arts
394,65-90,88,394,163,,
395,65-90,89,395,2094,,
396,65-90,67,396,751,,
397,19-64,43,397,1463,,public
398,6-18,11,398,1652,1,
399,19-64,30,399,1068,,retail
400,65-90,67,400,293,,
401,19-64,38,401,438,,retail
402,19-64,34,402,530,,wholesale
403,6-18,14,403,817,0,
404,6-18,9,404,1074,1,
405,65-90,69,405,934,,
406,19-64,24,406,547,,health
407,19-64,40,407,1096,,arts
408,6-18,16,408,1063,1,
409,65-90,90,409,2029,,
410,19-64,22,410,1817,,information
411,19-64,64,411,1057,,public
412,19-64,61,412,1920,,retail
413,19-64,56,413,998,,retail
414,65-90,65,414,1175,,manufacturing
415,19-64,38,415,1438,,health
416,19-64,47,416,1742,,health
417,19-64,35,417,1730,,waste management
418,6-18,13,418,64,0,
419,19-64,58,419,1916,,construction
420,19-64,20,420,300,,health
421,19-64,41,421,1375,,arts
422,19-64,53,422,1215,,finance
423,19-64,27,423,547,,finance
424,19-64,31,424,278,,health
425,19-64,39,425,1479,,manufacturing
426,19-64,38,426,548,,health
427,19-64,63,427,282,,arts
428,6-18,11,428,1014,1,
429,19-64,38,429,327,,manufacturing
430,19-64,19,430,685,,finance
431,19-64,45,431,1291,,health
432,19-64,53,432,881,,construction
433,6-18,10,433,1836,0,
434,6-18,6,434,1780,1,
435,19-64,30,435,15,,transportation
436,19-64,64,436,1938,,health
437,6-18,14,437,1339,0,
438,19-64,38,438,1155,,retail
439,19-64,22,439,1209,,waste management
440,19-64,32,440,1505,,manufacturing
441,65-90,84,441,1232,,
442,19-64,30,442,1036,,health
443,19-64,22,443,1227,,manufacturing
444,19-64,24,444,665,,retail
445,65-90,70,445,561,,
446,19-64,23,446,107,,retail
447,65-90,84,447,2081,,
448,6-18,17,448,662,1,
449,65-90,68,449,1845,,
450,65-90,86,450,1629,,
451,19-64,49,451,904,,retail
452,19-64,21,452,488,,agriculture
453,19-64,28,453,553,,retail
454,6-18,6,454,614,0,
455,19-64,44,455,1829,,arts
456,19-64,46,456,410,,health
457,65-90,68,457,2005,,
458,19-64,29,458,35,,retail
459,19-64,29,459,510,,manufacturing
460,6-18,14,460,807,0,
461,65-90,76,461,2025,,
462,19-64,20,462,1434,,finance
463,65-90,78,463,1848,,
464,19-64,38,464,1217,,waste management
465,19-64,31,465,1009,,retail
466,6-18,13,466,840,0,
467,19-64,19,467,590,,health
468,19-64,64,468,2056,1,schools
469,19-64,51,469,1855,,finance
470,6-18,11,470,1269,1,
471,19-64,50,471,1611,,retail
472,65-90,80,472,1952,,
473,0-5,1,473,1810,,
474,19-64,52,474,2075,1,schools
475,65-90,89,475,1978,,
476,19-64,55,476,745,,finance
477,19-64,34,477,1463,,arts
478,65-90,74,478,1437,,
479,19-64,34,479,795,,retail
480,65-90,75,480,709,,
481,19-64,53,481,329,,arts
482,6-18,13,482,1533,1,
483,19-64,46,483,887,,arts
484,6-18,7,484,1841,0,
485,19-64,50,485,1764,,health
486,19-64,37,486,778,,manufacturing
487,6-18,7,487,906,1,
488,19-64,48,488,651,,manufacturing
489,19-64,59,489,2006,,health
490,19-64,50,490,2033,,health
491,19-64,50,491,888,,health
492,19-64,23,492,976,,construction
493,6-18,12,493,1185,0,
494,19-64,62,494,757,,
495,19-64,43,495,1229,,manufacturing
496,19-64,54,496,1072,,finance
497,65-90,81,497,2024,,
498,19-64,64,498,1639,,arts
499,6-18,7,499,1901,0,
500,19-64,53,500,1340,,agriculture
501,19-64,48,501,919,,health
502,19-64,37,502,1456,,health
503,19-64,26,503,88,,transportation
504,6-18,16,504,64,1,
505,19-64,24,505,567,,construction
506,19-64,55,506,2000,,health
507,19-64,27,507,578,,health
508,65-90,68,508,1562,,
509,65-90,67,509,1944,,
510,19-64,39,510,1787,,
511,19-64,45,511,406,,finance
512,19-64,63,512,783,,other
513,19-64,60,513,1856,,information
514,65-90,90,514,322,,
515,65-90,78,515,399,,
516,6-18,13,516,1259,0,
517,19-64,25,517,1551,,finance
518,19-64,31,518,36,,finance
519,19-64,63,519,673,,waste management
520,19-64,33,520,1270,,transportation
521,6-18,10,521,1648,1,
522,19-64,41,522,505,,public
523,6-18,18,523,433,1,
524,19-64,20,524,434,,public
525,65-90,69,525,707,,
526,19-64,52,526,2019,,arts
527,6-18,17,527,1023,0,
528,65-90,65,528,2026,,manufacturing
529,19-64,52,529,1952,,health
530,19-64,29,530,1179,,manufacturing
531,65-90,80,531,83,,
532,19-64,50,532,1629,,health
533,6-18,9,533,1249,1,
534,65-90,77,534,1794,,
535,19-64,48,535,181,,waste management
536,65-90,68,536,929,,
537,19-64,27,537,592,,health
538,0-5,0,538,1790,,
539,19-64,57,539,2002,,health
540,6-18,7,540,1347,1,
541,19-64,55,541,1833,,health
542,19-64,53,542,427,,retail
543,6-18,11,543,1204,1,
544,19-64,50,544,733,,finance
545,19-64,42,545,162,,health
546,19-64,47,546,175,,manufacturing
547,19-64,20,547,1224,,retail
548,19-64,27,548,1081,,
549,65-90,82,549,8,,
550,19-64,36,550,138,,manufacturing
551,19-64,47,551,385,,
552,19-64,22,552,37,,finance
553,19-64,41,553,411,,retail
554,19-64,37,554,534,,health
555,6-18,8,555,1569,0,
556,19-64,34,556,265,,manufacturing
557,65-90,77,557,379,,
558,65-90,73,558,1017,,
559,19-64,51,559,1436,,construction
560,19-64,53,560,1157,,information
561,65-90,73,561,1902,,
562,65-90,89,562,775,,
563,65-90,74,563,1985,,
564,19-64,64,564,1161,,
565,6-18,6,565,504,1,
566,65-90,66,566,1843,,
567,65-90,66,567,1222,,
568,6-18,12,568,365,1,
569,19-64,26,569,942,,waste management
570,19-64,48,570,842,,finance
571,19-64,46,571,1372,,public
572,0-5,4,572,384,,
573,65-90,82,573,1745,,
574,19-64,22,574,1195,,transportation
575,19-64,38,575,619,,manufacturing
576,65-90,82,576,2088,,
577,19-64,39,577,605,,finance
578,65-90,86,578,463,,
579,6-18,7,579,1885,1,
580,19-64,41,580,1748,,health
581,19-64,48,581,70,,other
582,6-18,14,582,1864,0,
583,6-18,13,583,1406,1,
584,0-5,2,584,1160,,
585,65-90,72,585,1301,,
586,19-64,34,586,917,,transportation
587,19-64,34,587,6,,waste management
588,19-64,30,588,1086,,manufacturing
589,65-90,85,589,1528,,
590,19-64,61,590,916,,manufacturing
591,19-64,53,591,53,,wholesale
592,6-18,16,592,898,0,
593,0-5,3,593,1568,,
594,19-64,51,594,1748,,manufacturing
595,19-64,42,595,289,,finance
596,0-5,3,596,1066,,
597,19-64,54,597,98,,manufacturing
598,19-64,22,598,218,,public
599,65-90,66,599,941,,
600,19-64,43,600,437,,health
601,6-18,17,601,728,0,
602,19-64,51,602,1242,,arts
603,19-64,33,603,1394,,manufacturing
604,65-90,90,604,1041,,
605,65-90,81,605,1633,,
606,6-18,18,606,747,0,
607,19-64,28,607,1157,,transportation
608,19-64,25,608,1,,other
609,65-90,66,609,948,,
610,19-64,29,610,1976,,health
611,19-64,50,611,275,,finance
612,19-64,64,612,384,,arts
613,65-90,66,613,1663,,
614,0-5,5,614,840,1,
615,19-64,26,615,979,,arts
616,19-64,37,616,377,,information
617,19-64,33,617,992,,construction
618,6-18,10,618,1306,0,
619,0-5,4,619,1979,,
620,6-18,16,620,735,0,
621,19-64,21,621,590,,health
622,19-64,21,622,317,,retail
623,65-90,87,623,470,,
624,19-64,51,624,684,,manufacturing
625,19-64,45,625,959,,health
626,19-64,31,626,396,,arts
627,65-90,83,627,1651,,
628,19-64,64,628,1612,,retail
629,19-64,31,629,1790,,arts
630,0-5,5,630,417,1,
631,19-64,26,631,393,,agriculture
632,65-90,80,632,1491,,
633,65-90,67,633,1812,,
634,19-64,50,634,1959,,arts
635,65-90,90,635,1,,
636,19-64,36,636,655,,health
637,6-18,10,637,1069,1,
638,19-64,60,638,1687,,health
639,19-64,38,639,160,,agriculture
640,19-64,43,640,278,,waste management
641,6-18,13,641,607,0,
642,65-90,82,642,1932,,
643,19-64,48,643,1180,,construction
644,65-90,66,644,1945,,
645,6-18,10,645,1062,1,
646,65-90,72,646,892,,
647,65-90,82,647,1229,,
648,19-64,44,648,160,,other
649,6-18,8,649,215,0,
650,19-64,57,650,374,,waste management
651,6-18,11,651,1836,1,
652,19-64,28,652,597,,waste management
653,6-18,12,653,1427,0,
654,19-64,21,654,1836,,manufacturing
655,19-64,25,655,1091,,retail
656,65-90,85,656,967,,
657,65-90,86,657,943,,
658,65-90,89,658,1751,,
659,6-18,12,659,222,1,
660,6-18,6,660,1956,1,
661,6-18,6,661,51,0,
662,19-64,48,662,277,,waste management
663,65-90,70,663,951,,
664,19-64,25,664,112,,manufacturing
665,6-18,14,665,30,1,
666,19-64,26,666,16,,health
667,19-64,46,667,1360,,construction
668,19-64,28,668,181,,retail
669,65-90,65,669,748,,manufacturing
670,65-90,79,670,2057,,
671,6-18,18,671,554,0,
672,19-64,36,672,424,,finance
673,19-64,54,673,1892,,waste management
674,6-18,10,674,1819,1,
675,19-64,32,675,542,,health
676,19-64,38,676,662,,retail
677,6-18,7,677,661,1,
678,6-18,10,678,311,1,
679,19-64,42,679,799,,waste management
680,0-5,4,680,1820,,
681,6-18,6,681,474,1,
682,19-64,28,682,490,,retail
683,65-90,84,683,2007,,
684,19-64,64,684,782,,retail
685,19-64,42,685,1790,,retail
686,19-64,64,686,2054,,health
687,6-18,11,687,1790,0,
688,6-18,14,688,140,0,
689,19-64,30,689,331,,retail
690,19-64,37,690,1237,,arts
691,65-90,74,691,1593,,
692,19-64,37,692,1652,,transportation
693,65-90,82,693,1423,,
694,19-64,44,694,1026,,arts
695,19-64,53,695,24,,manufacturing
696,6-18,11,696,1677,0,
697,19-64,21,697,1006,,other
698,19-64,46,698,251,,arts
699,19-64,26,699,272,,finance
700,65-90,69,700,1986,,
701,19-64,36,701,1106,,health
702,19-64,57,702,335,,health
703,19-64,57,703,1161,,health
704,19-64,55,704,1905,,arts
705,19-64,62,705,2012,,information
706,19-64,26,706,251,,health
707,19-64,19,707,9,,retail
708,19-64,45,708,1011,,public
709,19-64,47,709,482,,construction
710,19-64,39,710,138,,finance
711,19-64,43,711,952,,arts
712,6-18,7,712,1214,0,
713,65-90,72,713,1795,,
714,6-18,16,714,1836,1,
715,19-64,57,715,1463,,construction
716,19-64,48,716,526,,waste management
717,6-18,17,717,1119,0,
718,19-64,44,718,87,,construction
719,19-64,62,719,45,,health
720,19-64,63,720,1223,,finance
721,19-64,27,721,1013,,arts
722,19-64,31,722,1488,,health
723,19-64,50,723,104,,health
724,0-5,4,724,1899,,
725,19-64,30,725,167,,waste management
726,19-64,38,726,113,,construction
727,19-64,47,727,1445,,arts
728,6-18,17,728,2007,0,
729,19-64,57,729,380,,health
730,19-64,53,730,1819,,health
731,19-64,58,731,1038,,retail
732,19-64,56,732,2065,,waste management
733,65-90,83,733,1492,,
734,19-64,59,734,1514,,health
735,19-64,47,735,616,,manufacturing
736,19-64,50,736,296,,health
737,19-64,27,737,901,,health
738,19-64,20,738,1678,,retail
739,19-64,25,739,840,,
740,6-18,7,740,1350,0,
741,65-90,66,741,1775,,
742,19-64,57,742,872,,other
743,65-90,71,743,2052,,
744,19-64,48,744,792,,agriculture
745,19-64,41,745,91,,arts
746,19-64,48,746,589,,finance
747,19-64,24,747,1427,,finance
748,19-64,38,748,1114,,public
749,19-64,28,749,103,,retail
750,6-18,16,750,1779,0,
751,19-64,26,751,195,,construction
752,65-90,76,752,205,,
753,19-64,53,753,2010,,wholesale
754,19-64,27,754,1394,,health
755,65-90,74,755,1828,,
756,65-90,83,756,1666,,
757,19-64,34,757,1071,,information
758,19-64,39,758,811,,health
759,19-64,56,759,1280,,waste management
760,65-90,76,760,1888,,
761,65-90,76,761,1251,,
762,19-64,23,762,169,,health
763,19-64,40,763,881,,
764,65-90,65,764,1670,,public
765,65-90,82,765,319,,
766,19-64,57,766,963,,retail
767,19-64,40,767,635,,manufacturing
768,19-64,21,768,450,,health
769,19-64,59,769,1216,1,schools
770,19-64,53,770,1418,,health
771,65-90,80,771,290,,
772,19-64,37,772,404,,retail
773,19-64,59,773,443,,arts
774,65-90,73,774,68,,
775,19-64,37,775,1003,,health
776,19-64,22,776,1576,,other
777,0-5,3,777,324,,
778,65-90,74,778,1995,,
779,19-64,47,779,558,,manufacturing
780,19-64,41,780,126,,transportation
781,19-64,55,781,105,,manufacturing
782,19-64,62,782,1033,1,schools
783,19-64,28,783,952,,retail
784,19-64,61,784,90,,arts
785,19-64,40,785,1824,0,schools
786,6-18,17,786,1635,1,
787,19-64,56,787,1095,,public
788,19-64,22,788,908,,construction
789,6-18,13,789,589,0,
790,65-90,76,790,968,,
791,19-64,44,791,578,,construction
792,19-64,47,792,1171,,finance
793,19-64,56,793,1581,,public
794,19-64,52,794,420,,construction
795,19-64,19,795,323,,construction
796,19-64,42,796,1077,,other
797,6-18,17,797,547,1,
798,19-64,49,798,992,,health
799,19-64,21,799,362,,information
800,6-18,8,800,1807,1,
801,19-64,26,801,405,,waste management
802,65-90,76,802,1993,,
803,19-64,57,803,1540,,manufacturing
804,19-64,34,804,31,,other
805,19-64,50,805,495,,health
806,19-64,62,806,566,,health
807,19-64,21,807,965,,arts
808,19-64,20,808,1478,,retail
809,19-64,55,809,633,,retail
810,65-90,72,810,1162,,
811,6-18,17,811,874,1,
812,19-64,47,812,500,,retail
813,6-18,16,813,659,1,
814,19-64,35,814,33,,manufacturing
815,19-64,62,815,157,,wholesale
816,19-64,25,816,622,,construction
817,6-18,16,817,952,1,
818,6-18,10,818,430,0,
819,19-64,56,819,1387,,transportation
820,6-18,17,820,971,1,
821,19-64,39,821,1655,,health
822,0-5,3,822,1952,,
823,19-64,61,823,1789,,information
824,6-18,14,824,1554,0,
825,19-64,44,825,313,,health
826,65-90,72,826,1705,,
827,65-90,68,827,899,,
828,19-64,60,828,1036,,transportation
829,6-18,14,829,1408,0,
830,6-18,9,830,866,1,
831,19-64,29,831,1237,,public
832,19-64,54,832,1352,,waste management
833,19-64,47,833,61,,finance
834,0-5,3,834,1628,,
835,19-64,32,835,386,,manufacturing
836,65-90,78,836,137,,
837,19-64,58,837,1238,,health
838,19-64,27,838,1080,,construction
839,65-90,74,839,614,,
840,19-64,31,840,62,,other
841,19-64,39,841,1796,,public
842,19-64,63,842,1325,,retail
843,19-64,23,843,441,,information
844,19-64,58,844,1112,,transportation
845,19-64,45,845,656,,health
846,19-64,41,846,795,,health
847,19-64,30,847,977,,information
848,19-64,60,848,24,,retail
849,19-64,28,849,444,,health
850,19-64,53,850,1951,,health
851,19-64,28,851,674,,
852,19-64,35,852,1345,,health
853,19-64,54,853,1437,,finance
854,65-90,78,854,1482,,
855,19-64,35,855,343,,finance
856,6-18,13,856,1685,1,
857,19-64,46,857,1703,,other
858,65-90,84,858,851,,
859,65-90,81,859,316,,
860,19-64,35,860,761,,waste management
861,19-64,22,861,1031,,health
862,19-64,37,862,610,,
863,19-64,34,863,341,,health
864,19-64,58,864,1838,,retail
865,6-18,11,865,1583,1,
866,0-5,2,866,1006,,
867,0-5,0,867,1789,,
868,19-64,31,868,263,,manufacturing
